,subject,keywords
0,Rings and Algebras,Rings/Algebras/Ring/Algebra
1,Operator Algebras,Operator
2,Statistics and Probability,Statistics/Probability
3,Representation Theory,Representation
4,Accelerator Physics,Accelerator
5,Mesoscopic Systems and Quantum Hall Effect,Mesoscopic/Hall
6,Optics,Optics
7,Atomic Physics,Atom/Atomic
8,Disordered Systems and Neural Networks,Disordered/Neural
9,Algebraic Topology,Algebraic Topology
10,Plasma Physics,Plasma
11,Symplectic Geometry,Symplectic/Symplex/Simplex
12,Spectral Theory,Spectre/Spectral
13,Data Analysis,Data Analysis
14,Functional Analysis,Functional Analysis
15,Analysis of PDEs,PDE
16,Metric Geometry,Metric Geometry
17,Atomic and Molecular Clusters,Molecular Clusters/Atomic CLusters 
18,General Mathematics,Mathematics
19,Dynamical Systems,Dynamical System
20,Combinatorics,Combinatorics
21,General Topology,Topology
22,Statistical Mechanics,Statistical Mechanics
23,K-Theory and Homology,K-Theory/Homology
24,Exactly Solvable and Integrable Systems,Integrable Systems
25,Complex Variables,Complex Variables
26,Optimization and Control,Control/Optimization
27,Classical Physics,Classical Physics
28,Chemical Physics,Ð¡hemistry/Chemical
29,Superconductivity,Superconductivity
30,Differential Geometry,Differential Geometry
31,Classical Analysis and ODEs,ODE
32,Quantum,Quantum/Quant
33,Soft Condensed Matter,Soft Condensed Matter
34,Geometric Topology,Geometric Topology
35,Fluid Dynamics,Fluid
36,Popular Physics,Popular Physics
37,Materials Science,Material
38,Computational Physics,Computational
39,Algebraic Geometry,Algebraic Geometry
40,Numerical Analysis,Numerical
41,Space Physics,Space
42,Mathematical Physics,Mathematical Physics
43,Logic,Logic
44,History of Physics,History/Physics
45,Mathematical Software,Software
46,Physics and Society,Society
47,Chaotic Dynamics,Chaotic/Chaos
48,Adaptation and Self-Organizing Systems,Self-Organizing/Adaptation
49,Number Theory,Number Theory
50,Group Theory,Group Theory
